	Roll no.	MCQ	Fill The Blanks	Total
1	20211130	19	9	28
2	20211041	20	8	28
3	20221284	17	8.5	25.5
4	20211139	19	7	26
5	20211143	15	0	15
6	20211147	15	6.5	21.5
7	20211070	20	9.5	29.5
8	20211245	20	7.5	27.5
9	20211127	14	5	19
10	20221150	18	7.5	25.5
11	20221108	16	9	25
12	20221031	12	0	12
13	20221059	18	5.5	23.5
14	20211266	20	6.5	26.5
15	20221227	18	8.5	26.5
16	20211222	20	9.5	29.5
17	20221111	15	8.5	23.5
18	20211223	16	7.5	23.5
19	20221263	16	4.5	20.5
20	20211200	15	0	15
21	20221175	14	3.5	17.5
22	20221010	16	7.5	23.5
23	20211055	17	8.5	25.5
24	20221266	15	0.5	15.5
25	20221148	14	3.5	17.5
26	20221015	12	2.5	14.5
27	20211058	16	4.5	20.5
28	20211072	17	9	26
29	20221011	15	0	15
30	20211226	20	10	30
31	20211189	15	2.5	17.5
32	20221269	12	1	13
33	20211206	17	4	21
34	20221151	16	6.5	22.5
35	20211145	16	8	24
36	20221163	19	6.5	25.5
37	20221068	17	1	18
38	20221055	16	6	22
39	20211005	16	8	24
40	20221274	18	9.5	27.5
41	20221194	15	5	20
42	20191222	20	9	29
43	20211006	18	8	26
44	20221050	17	3.5	20.5
45	20211047	18	3.5	21.5
46	20211132	20	8.5	28.5
47	20211117	16	5	21
48	20211007	18	9	27
49	20211211	14	4.5	18.5
50	20211157	16	5	21
51	20221233	17	9	26
52	20211154	15	9.5	24.5
53	20211225	11	4	15
54	20211251	18	5	23
55	20211017	11	6	17
56	20221126	15	6	21